Year,Team_x,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Round,Pick,Team_y,Prior Team,College
2022,Seattle Storm,Playoffs,6,Gabby Williams,25,4,4,101.0,16.0,24.0,0.667,2.0,6.0,0.333,14.0,18.0,0.778,6.0,7.0,0.857,6.0,10.0,16.0,11.0,6.0,1.0,6.0,8.0,40.0,,,,,
2022,Seattle Storm,Playoffs,7,Ezi Magbegor,22,6,0,93.0,14.0,24.0,0.583,0.0,0.0,,14.0,24.0,0.583,2.0,3.0,0.667,3.0,13.0,16.0,6.0,4.0,6.0,1.0,12.0,30.0,,,,,
2022,Seattle Storm,Playoffs,8,Briann January,35,6,0,43.0,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,,0.0,3.0,3.0,7.0,0.0,0.0,4.0,2.0,6.0,,,,,
2022,Seattle Storm,Playoffs,9,Epiphanny Prince,34,6,0,34.0,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,,,,,
2022,Washington Mystics,Regular Season,1,Ariel Atkins,25,36,36,1081.0,185.0,440.0,0.42,70.0,192.0,0.365,115.0,248.0,0.464,87.0,103.0,0.845,34.0,83.0,117.0,83.0,49.0,9.0,51.0,99.0,527.0,,,,,
2022,Washington Mystics,Regular Season,2,Natasha Cloud,30,34,34,1065.0,123.0,308.0,0.399,43.0,135.0,0.319,80.0,173.0,0.462,75.0,91.0,0.824,16.0,106.0,122.0,239.0,34.0,10.0,94.0,55.0,364.0,,,,,
2022,Washington Mystics,Regular Season,3,Shakira Austin,21,36,32,776.0,122.0,223.0,0.547,0.0,1.0,0.0,122.0,222.0,0.55,68.0,109.0,0.624,63.0,170.0,233.0,33.0,26.0,30.0,54.0,84.0,312.0,1.0,3.0,Washington Mysticsfrom Atlanta,Mississippi,Mississippi
2022,Washington Mystics,Regular Season,4,Alysha Clark,34,29,29,766.0,91.0,196.0,0.464,30.0,99.0,0.303,61.0,97.0,0.629,21.0,23.0,0.913,23.0,108.0,131.0,59.0,27.0,8.0,38.0,55.0,233.0,,,,,
2022,Washington Mystics,Regular Season,5,Shatori Walker-Kimbrough,27,35,3,705.0,80.0,199.0,0.402,26.0,75.0,0.347,54.0,124.0,0.435,55.0,61.0,0.902,10.0,54.0,64.0,53.0,37.0,10.0,39.0,43.0,241.0,,,,,
2022,Washington Mystics,Regular Season,6,Elena Delle Donne,32,25,25,694.0,155.0,323.0,0.48,35.0,95.0,0.368,120.0,228.0,0.526,84.0,92.0,0.913,30.0,128.0,158.0,57.0,12.0,27.0,27.0,36.0,429.0,,,,,
2022,Washington Mystics,Regular Season,7,Myisha Hines-Allen,26,34,15,656.0,114.0,275.0,0.415,29.0,79.0,0.367,85.0,196.0,0.434,45.0,64.0,0.703,37.0,142.0,179.0,66.0,26.0,10.0,58.0,56.0,302.0,,,,,
2022,Washington Mystics,Regular Season,8,Rui Machida,29,36,2,463.0,26.0,84.0,0.31,7.0,34.0,0.206,19.0,50.0,0.38,6.0,9.0,0.667,6.0,34.0,40.0,93.0,16.0,2.0,38.0,25.0,65.0,,,,,
2022,Washington Mystics,Regular Season,9,Elizabeth Williams,29,30,0,447.0,68.0,141.0,0.482,0.0,0.0,,68.0,141.0,0.482,25.0,43.0,0.581,45.0,70.0,115.0,14.0,18.0,20.0,19.0,44.0,161.0,,,,,
2022,Washington Mystics,Regular Season,10,Tianna Hawkins,31,25,0,320.0,44.0,114.0,0.386,14.0,53.0,0.264,30.0,61.0,0.492,20.0,21.0,0.952,15.0,44.0,59.0,20.0,9.0,2.0,30.0,43.0,122.0,,,,,
2022,Washington Mystics,Regular Season,11,Kennedy Burke,25,16,4,222.0,33.0,74.0,0.446,11.0,32.0,0.344,22.0,42.0,0.524,10.0,17.0,0.588,8.0,27.0,35.0,7.0,16.0,4.0,8.0,17.0,87.0,,,,,
2022,Washington Mystics,Regular Season,12,Evina Westbrook,23,6,0,32.0,6.0,9.0,0.667,3.0,6.0,0.5,3.0,3.0,1.0,5.0,6.0,0.833,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,20.0,2.0,21.0,Seattle Storm,Connecticut,Connecticut
2022,Washington Mystics,Regular Season,13,Katie Benzan,24,3,0,27.0,5.0,9.0,0.556,5.0,7.0,0.714,0.0,2.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,1.0,0.0,1.0,2.0,7.0,18.0,,,,,
2022,Washington Mystics,Regular Season,14,Stephanie Jones,23,3,0,19.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,7.0,,,,,
