Year,Round,Pick,Team,Player,Prior Team,College
2020,2,17,Atlanta Dreamfrom Phoenix,Brittany Brewer,Texas Tech,Texas Tech
2020,2,18,Phoenix Mercuryfrom Minnesota,Te'a Cooper,Baylor,Baylor
2020,2,19,Seattle Storm,Joyner Holmes,Texas,Texas
2020,2,20,Los Angeles Sparksfrom Chicago,Beatrice Mompremier,Miami,Miami
2020,2,21,Dallas Wingsfrom Las Vegas,Luisa Geiselsöder,Germany,N/A
2020,2,22,Los Angeles Sparks,Leonie Fiebich,Germany,N/A
2020,2,23,Connecticut Sun,Kaila Charles,Maryland,Maryland
2020,2,24,Washington Mystics,Jaylyn Agnew,Creighton,Creighton
2020,3,25,Atlanta Dream,Mikayla Pivec,Oregon State,Oregon State
2020,3,26,New York Liberty,Erica Ogwumike,Rice,Rice
2020,3,27,Atlanta Dreamfrom Dallas,Kobi Thornton,Clemson,Clemson
2020,3,28,Indiana Fever,Kamiah Smalls,James Madison,James Madison
2020,3,29,Phoenix Mercury,Stella Johnson,Rider,Rider
2020,3,30,Chicago Skyfrom Minnesota,Japreece Dean,UCLA,UCLA
2020,3,31,Seattle Storm,Haley Gorecki,Duke,Duke
2020,3,32,Chicago Sky,Kiah Gillespie,Florida State,Florida State
2020,3,33,Las Vegas Aces,Lauren Manis,Holy Cross,Holy Cross
2020,3,34,Los Angeles Sparks,Tynice Martin,West Virginia,West Virginia
2020,3,35,Connecticut Sun,Juicy Landrum,Baylor,Baylor
2020,3,36,Washington Mystics,Sug Sutton,Texas,Texas
2019,1,1,Las Vegas Aces,Jackie Young,Notre Dame,Notre Dame
2019,1,2,New York Liberty,AD Durr,Louisville,Louisville
2019,1,3,Indiana Fever,Teaira McCowan,Mississippi State,Mississippi State
2019,1,4,Chicago Sky,Katie Lou Samuelson,Connecticut,Connecticut
2019,1,5,Dallas Wings,Arike Ogunbowale,Notre Dame,Notre Dame
2019,1,6,Minnesota Lynx,Napheesa Collier,Connecticut,Connecticut
2019,1,7,Los Angeles Sparks,Kalani Brown,Baylor,Baylor
2019,1,8,Phoenix Mercury,Alanna Smith,Stanford,Stanford
2019,1,9,Connecticut Sun,Kristine Anigwe,California,California
