Season (Year),Team,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2020,Seattle Storm,Regular Season,2,Alysha Clark,32,22,22,28.8,3.7,6.7,0.558,1.6,3,0.522,2.1,3.6,0.588,0.9,1.1,0.8,0.9,3.4,4.2,2.7,1.5,0.5,0.9,1.7,10
2020,Seattle Storm,Regular Season,3,Jewell Loyd,26,22,22,27.9,5.1,11.5,0.443,1.8,4.5,0.39,3.3,7,0.477,3.5,4,0.875,0.6,1.7,2.4,3.2,1.5,0.3,1.9,1.5,15.5
2020,Seattle Storm,Regular Season,4,Jordin Canada,24,20,11,24.2,2.8,6.6,0.424,0.1,0.6,0.091,2.8,6.1,0.455,2.2,2.9,0.772,0.5,1.8,2.3,5.5,1.5,0,2,1.8,7.9
2020,Seattle Storm,Regular Season,5,Sue Bird,39,11,11,23.4,3.7,7.5,0.494,2.1,4.5,0.469,1.6,3.1,0.529,0.3,0.4,0.75,0.1,1.6,1.7,5.2,0.6,0.2,1.6,0.8,9.8
2020,Seattle Storm,Regular Season,6,Natasha Howard,28,22,22,21,4,7.5,0.53,0.3,0.9,0.35,3.6,6.5,0.556,1.3,1.6,0.778,2.4,4.7,7.1,1,1.7,0.6,2.1,3,9.5
2020,Seattle Storm,Regular Season,7,Sami Whitcomb,31,22,0,16.5,2.8,6.4,0.443,1.5,3.8,0.381,1.4,2.5,0.536,1,1,1,0.2,2.1,2.3,2,0.7,0.1,1,1.4,8.1
2020,Seattle Storm,Regular Season,8,Mercedes Russell,24,22,2,13.8,1.5,3.5,0.41,0,0,,1.5,3.5,0.41,0.6,1.1,0.56,0.7,2.5,3.2,0.6,0.4,0.4,0.7,1,3.5
2020,Seattle Storm,Regular Season,9,Ezi Magbegor,20,22,0,13.3,2.8,5,0.569,0,0.1,0.333,2.8,4.8,0.575,0.9,1.2,0.704,1.1,1.3,2.5,0.3,0.5,0.7,0.4,2,6.5
2020,Seattle Storm,Regular Season,10,Epiphanny Prince,32,15,0,12.7,1.5,3.8,0.386,0.6,1.8,0.333,0.9,2,0.433,0.7,0.9,0.846,0.1,1.1,1.2,1.4,0.4,0.1,0.8,1.5,4.3
2020,Seattle Storm,Regular Season,11,Morgan Tuck,26,10,0,8.8,0.5,1.6,0.313,0.2,0.9,0.222,0.3,0.7,0.429,0.5,0.8,0.625,0.2,0.4,0.6,0.2,0.5,0,0.6,1.2,1.7
2020,Seattle Storm,Regular Season,12,Crystal Langhorne,33,13,0,8.2,0.5,1.3,0.412,0.1,0.4,0.2,0.5,0.9,0.5,0.2,0.5,0.5,0.2,1.9,2.2,0.5,0.1,0.1,0.8,0.5,1.4
2020,Seattle Storm,Playoffs,1,Breanna Stewart,25,6,6,32.7,9.5,17.7,0.538,2.8,5.7,0.5,6.7,12,0.556,3.8,4.5,0.852,1,6.8,7.8,4,1.7,1.7,1.2,1.8,25.7
2020,Seattle Storm,Playoffs,2,Alysha Clark,32,6,6,30.5,4,8.8,0.453,1.3,3.8,0.348,2.7,5,0.533,1,1,1,1.8,4.7,6.5,3.2,0.7,0.7,0.7,2.7,10.3
2020,Seattle Storm,Playoffs,3,Jewell Loyd,26,6,6,30.2,6.8,12.3,0.554,1.8,4.7,0.393,5,7.7,0.652,2.3,2.5,0.933,1.2,3.8,5,3.8,1.3,0.5,2.3,2,17.8
2020,Seattle Storm,Playoffs,4,Sue Bird,39,6,6,26.5,3.3,8.5,0.392,2,6.3,0.316,1.3,2.2,0.615,0.8,0.8,1,0,2,2,9.2,0.7,0.3,2.3,1.8,9.5
2020,Seattle Storm,Playoffs,5,Natasha Howard,28,6,6,23,3.8,7,0.548,0.5,1,0.5,3.3,6,0.556,1.3,1.8,0.727,1.2,4.2,5.3,1.5,1.2,0.8,1.5,3,9.5
2020,Seattle Storm,Playoffs,6,Mercedes Russell,24,6,0,17.5,2.2,3.5,0.619,0,0,,2.2,3.5,0.619,0.8,0.8,1,1.2,2.7,3.8,1,0.2,0.2,0.8,2.8,5.2
2020,Seattle Storm,Playoffs,7,Jordin Canada,24,6,0,15.5,3,5.5,0.545,0,0.5,0,3,5,0.6,1,1.5,0.667,0.5,1.3,1.8,1.3,0.5,0,0.3,0.8,7
2020,Seattle Storm,Playoffs,8,Epiphanny Prince,32,5,0,13,1.6,3.4,0.471,0.8,2.2,0.364,0.8,1.2,0.667,1,1.2,0.833,0,0.8,0.8,2.2,1,0,0.4,0.8,5
2020,Seattle Storm,Playoffs,9,Sami Whitcomb,31,3,0,10.7,2,6,0.333,1,3.7,0.273,1,2.3,0.429,0,0,,0,1.3,1.3,1.7,1,0,0.3,1,5
2020,Seattle Storm,Playoffs,10,Morgan Tuck,26,1,0,7,1,5,0.2,0,2,0,1,3,0.333,0,0,,0,1,1,1,0,0,0,1,2
2020,Seattle Storm,Playoffs,11,Crystal Langhorne,33,1,0,6,0,2,0,0,2,0,0,0,,0,0,,0,2,2,1,0,0,0,1,0
2020,Seattle Storm,Playoffs,12,Ezi Magbegor,20,6,0,5.8,0.3,1.5,0.222,0,0.3,0,0.3,1.2,0.286,0.3,0.3,1,0,1.2,1.2,0.3,0,0.2,0,0.7,1
2020,Las Vegas Aces,Regular Season,1,A'ja Wilson,23,22,22,697,166,346,0.48,0,0,,166,346,0.48,118,151,0.781,34,154,188,45,27,44,35,49,450
2020,Las Vegas Aces,Regular Season,2,Dearica Hamby,26,22,0,622,110,204,0.539,18,38,0.474,92,166,0.554,48,67,0.716,28,129,157,60,37,4,45,50,286
2020,Las Vegas Aces,Regular Season,3,Kayla McBride,28,22,22,587,90,212,0.425,25,73,0.342,65,139,0.468,70,78,0.897,9,42,51,52,26,2,31,30,275
2020,Las Vegas Aces,Regular Season,4,Jackie Young,22,22,0,568,93,189,0.492,3,13,0.231,90,176,0.511,52,61,0.852,18,77,95,67,15,2,35,39,241
2020,Las Vegas Aces,Regular Season,5,Danielle Robinson,31,22,1,492,62,121,0.512,5,13,0.385,57,108,0.528,34,42,0.81,5,48,53,71,19,2,28,38,163
2020,Las Vegas Aces,Regular Season,6,Angel McCoughtry,33,22,22,440,117,226,0.518,16,34,0.471,101,192,0.526,67,76,0.882,37,75,112,54,29,6,38,49,317
